datacenter_location,router_name,interface_ip,link_type,latency_ms,bandwidth_gbps,vulnerability_score,node_status,last_security_scan
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_01,10.75.141.211,Inter-DC Transit,14,100,0.42,Operational / Patch Compliant,2026-06-07T20:11:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,10.133.20.4,Inter-DC Transit,25,100,0.12,Operational / Patch Compliant,2026-06-08T14:23:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_05,172.22.71.139,Backbone Trunk,8,200,0.39,Operational / Patch Compliant,2026-06-14T11:01:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,10.157.83.150,Edge Distribution,21,40,0.07,Operational / Patch Compliant,2026-06-08T23:35:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_01,172.20.190.228,Edge Distribution,21,10,0.32,Operational / Patch Compliant,2026-06-13T03:18:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,10.248.5.121,Inter-DC Transit,15,100,0.34,Operational / Patch Compliant,2026-06-12T11:07:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_05,10.88.16.27,Inter-DC Transit,20,40,0.41,Operational / Patch Compliant,2026-06-08T14:50:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_03,10.116.248.250,Edge Distribution,5,10,0.06,Operational / Patch Compliant,2026-06-13T11:28:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_05,10.156.106.97,Backbone Trunk,2,200,0.21,Operational / Patch Compliant,2026-06-14T23:01:44Z
US (Virginia-East),US_Edge_Aggregation_03,172.26.193.202,Edge Distribution,10,10,0.28,Operational / Patch Compliant,2026-06-12T01:39:44Z
US (Virginia-East),US_Core_Backbone_03,172.25.126.169,Backbone Trunk,5,400,0.96,Critical Exposure,2026-06-13T00:23:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_02,172.19.168.121,Edge Distribution,20,10,0.35,Operational / Patch Compliant,2026-06-11T07:06:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_05,10.177.140.223,Edge Distribution,13,40,0.12,Operational / Patch Compliant,2026-06-08T05:49:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_05,172.17.212.16,Edge Distribution,21,40,0.55,Mitigation Required,2026-06-12T11:45:44Z
US (Virginia-East),US_Edge_Aggregation_01,172.25.51.46,Edge Distribution,19,40,0.08,Operational / Patch Compliant,2026-06-14T15:39:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,172.18.26.139,Edge Distribution,21,40,0.24,Operational / Patch Compliant,2026-06-10T10:48:44Z
US (Virginia-East),US_Distribution_Layer_02,172.28.61.20,Edge Distribution,12,40,0.42,Operational / Patch Compliant,2026-06-11T21:26:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,10.249.116.231,Edge Distribution,8,40,0.14,Operational / Patch Compliant,2026-06-07T23:29:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_01,10.26.228.194,Edge Distribution,14,10,0.16,Operational / Patch Compliant,2026-06-14T10:11:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,10.156.106.86,Edge Distribution,7,40,0.06,Operational / Patch Compliant,2026-06-13T09:05:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_02,10.39.181.41,Edge Distribution,16,10,0.17,Operational / Patch Compliant,2026-06-14T17:03:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_04,10.151.235.246,Inter-DC Transit,31,40,0.2,Operational / Patch Compliant,2026-06-14T08:18:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_05,10.132.88.162,Edge Distribution,21,40,0.37,Operational / Patch Compliant,2026-06-08T12:02:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_03,172.31.207.197,Edge Distribution,9,40,0.82,Critical Exposure,2026-06-13T11:08:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,10.120.238.234,Backbone Trunk,5,100,0.2,Operational / Patch Compliant,2026-06-13T23:53:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_03,172.26.195.106,Edge Distribution,11,40,0.17,Operational / Patch Compliant,2026-06-10T23:22:44Z
US (Virginia-East),US_Edge_Aggregation_04,10.141.84.114,Edge Distribution,13,10,0.42,Operational / Patch Compliant,2026-06-10T07:14:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_01,172.21.37.172,Backbone Trunk,6,200,0.31,Operational / Patch Compliant,2026-06-11T02:23:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,172.18.176.94,Backbone Trunk,5,400,0.07,Operational / Patch Compliant,2026-06-12T18:03:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_05,10.220.142.42,Edge Distribution,5,40,0.33,Operational / Patch Compliant,2026-06-12T19:59:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_04,10.10.17.84,Backbone Trunk,7,100,0.05,Operational / Patch Compliant,2026-06-12T12:15:44Z
US (Virginia-East),US_Distribution_Layer_05,172.18.98.193,Edge Distribution,20,10,0.44,Operational / Patch Compliant,2026-06-14T13:06:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_02,172.23.212.121,Backbone Trunk,7,200,0.03,Operational / Patch Compliant,2026-06-10T12:07:44Z
US (Virginia-East),US_Border_Gateway_02,10.124.171.167,Inter-DC Transit,20,100,0.15,Operational / Patch Compliant,2026-06-13T15:42:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_02,172.21.27.246,Inter-DC Transit,14,100,0.22,Operational / Patch Compliant,2026-06-11T23:29:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_01,172.20.108.5,Backbone Trunk,5,100,0.37,Operational / Patch Compliant,2026-06-12T13:18:44Z
US (Virginia-East),US_Border_Gateway_03,10.100.110.18,Inter-DC Transit,15,100,0.76,Critical Exposure,2026-06-13T14:24:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_03,172.20.247.90,Inter-DC Transit,21,100,0.4,Operational / Patch Compliant,2026-06-12T22:09:44Z
US (Virginia-East),US_Border_Gateway_04,172.18.66.233,Inter-DC Transit,22,40,0.12,Operational / Patch Compliant,2026-06-12T17:02:44Z
US (Virginia-East),US_Border_Gateway_05,10.149.135.14,Inter-DC Transit,32,40,0.09,Operational / Patch Compliant,2026-06-10T19:38:44Z
US (Virginia-East),US_Edge_Aggregation_02,172.26.220.196,Edge Distribution,7,40,0.05,Operational / Patch Compliant,2026-06-12T05:06:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,10.46.168.156,Edge Distribution,6,10,0.19,Operational / Patch Compliant,2026-06-14T06:10:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_01,10.167.246.107,Backbone Trunk,5,100,0.64,Mitigation Required,2026-06-09T22:54:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_05,10.118.141.148,Edge Distribution,5,10,0.3,Operational / Patch Compliant,2026-06-09T13:38:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_03,10.244.158.131,Edge Distribution,7,10,0.42,Operational / Patch Compliant,2026-06-08T14:22:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_01,10.147.28.124,Edge Distribution,13,10,0.22,Operational / Patch Compliant,2026-06-10T03:06:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,172.29.233.235,Backbone Trunk,1,100,0.21,Operational / Patch Compliant,2026-06-11T18:41:44Z
US (Virginia-East),US_Core_Backbone_02,172.31.70.182,Backbone Trunk,3,400,0.09,Operational / Patch Compliant,2026-06-09T10:36:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_01,172.22.102.226,Backbone Trunk,6,200,0.09,Operational / Patch Compliant,2026-06-15T03:32:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_02,172.17.39.215,Edge Distribution,10,40,0.76,Critical Exposure,2026-06-13T08:16:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,10.128.54.235,Edge Distribution,5,10,0.06,Operational / Patch Compliant,2026-06-10T19:18:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,10.201.99.159,Backbone Trunk,4,200,0.28,Operational / Patch Compliant,2026-06-08T08:11:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_04,10.230.15.215,Backbone Trunk,8,200,0.11,Operational / Patch Compliant,2026-06-10T01:21:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_03,172.31.116.148,Backbone Trunk,2,400,0.22,Operational / Patch Compliant,2026-06-13T20:20:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_05,10.134.112.38,Edge Distribution,8,40,0.43,Operational / Patch Compliant,2026-06-12T18:21:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,10.66.237.254,Edge Distribution,7,10,0.33,Operational / Patch Compliant,2026-06-14T00:52:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_01,172.18.64.229,Backbone Trunk,7,100,0.12,Operational / Patch Compliant,2026-06-12T22:00:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_04,10.200.137.10,Inter-DC Transit,20,40,0.1,Operational / Patch Compliant,2026-06-10T18:30:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_01,10.73.217.109,Inter-DC Transit,28,100,0.41,Operational / Patch Compliant,2026-06-09T18:10:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_04,10.163.243.124,Edge Distribution,11,10,0.03,Operational / Patch Compliant,2026-06-12T02:43:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,172.19.56.121,Backbone Trunk,5,200,0.43,Operational / Patch Compliant,2026-06-11T04:06:44Z
US (Virginia-East),US_Core_Backbone_02,172.16.105.246,Backbone Trunk,5,400,0.08,Operational / Patch Compliant,2026-06-14T20:05:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_01,172.23.117.165,Inter-DC Transit,14,40,0.82,Critical Exposure,2026-06-13T05:56:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_05,172.21.80.49,Inter-DC Transit,23,40,0.08,Operational / Patch Compliant,2026-06-13T21:50:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,10.105.119.118,Edge Distribution,9,40,0.2,Operational / Patch Compliant,2026-06-10T14:14:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_02,10.203.35.124,Inter-DC Transit,34,100,0.38,Operational / Patch Compliant,2026-06-10T10:31:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_04,172.24.84.246,Backbone Trunk,3,200,0.27,Operational / Patch Compliant,2026-06-13T06:36:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_04,10.186.86.216,Edge Distribution,11,10,0.11,Operational / Patch Compliant,2026-06-14T19:54:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_05,172.21.194.196,Inter-DC Transit,26,40,0.22,Operational / Patch Compliant,2026-06-12T23:02:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_02,172.16.188.114,Edge Distribution,9,10,0.37,Operational / Patch Compliant,2026-06-11T07:13:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,10.58.175.203,Edge Distribution,6,10,0.04,Operational / Patch Compliant,2026-06-07T14:28:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_01,10.211.193.39,Inter-DC Transit,35,100,0.59,Mitigation Required,2026-06-13T12:56:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_04,10.170.29.165,Inter-DC Transit,12,100,0.18,Operational / Patch Compliant,2026-06-08T15:30:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_04,172.31.42.205,Backbone Trunk,3,100,0.17,Operational / Patch Compliant,2026-06-10T10:09:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_03,172.19.130.14,Edge Distribution,5,10,0.04,Operational / Patch Compliant,2026-06-07T20:12:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_04,10.254.103.229,Inter-DC Transit,26,100,0.78,Critical Exposure,2026-06-14T00:44:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_01,10.9.134.81,Inter-DC Transit,14,40,0.29,Operational / Patch Compliant,2026-06-09T10:50:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,10.2.145.222,Backbone Trunk,2,200,0.02,Operational / Patch Compliant,2026-06-14T12:08:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_04,10.230.149.151,Edge Distribution,12,10,0.25,Operational / Patch Compliant,2026-06-14T06:58:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_03,10.56.78.177,Edge Distribution,14,40,0.21,Operational / Patch Compliant,2026-06-13T09:01:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_04,172.28.105.24,Inter-DC Transit,13,100,0.29,Operational / Patch Compliant,2026-06-14T15:42:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_03,172.20.190.42,Edge Distribution,14,40,0.24,Operational / Patch Compliant,2026-06-11T06:46:44Z
US (Virginia-East),US_Core_Backbone_05,172.22.50.84,Backbone Trunk,7,100,0.11,Operational / Patch Compliant,2026-06-11T11:22:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_05,172.20.47.188,Inter-DC Transit,25,100,0.26,Operational / Patch Compliant,2026-06-10T07:41:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_04,10.184.34.104,Edge Distribution,21,10,0.3,Operational / Patch Compliant,2026-06-14T08:19:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,172.29.108.141,Inter-DC Transit,27,40,0.21,Operational / Patch Compliant,2026-06-08T18:21:44Z
Japan (Tokyo-North),JAPAN_Border_Gateway_03,10.201.237.99,Inter-DC Transit,20,100,0.22,Operational / Patch Compliant,2026-06-09T21:37:44Z
Iceland (Reykjavik-HQ),ICELAND_Border_Gateway_02,10.39.67.8,Inter-DC Transit,34,40,0.02,Operational / Patch Compliant,2026-06-08T08:31:44Z
US (Virginia-East),US_Border_Gateway_04,172.21.146.120,Inter-DC Transit,13,100,0.98,Critical Exposure,2026-06-13T22:31:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.31.209.150,Inter-DC Transit,24,100,0.18,Operational / Patch Compliant,2026-06-09T06:14:44Z
US (Virginia-East),US_Distribution_Layer_04,172.26.108.96,Edge Distribution,8,10,0.33,Operational / Patch Compliant,2026-06-10T23:33:44Z
US (Virginia-East),US_Border_Gateway_03,172.31.152.86,Inter-DC Transit,30,100,0.06,Operational / Patch Compliant,2026-06-09T01:19:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_02,10.188.221.33,Edge Distribution,6,10,0.25,Operational / Patch Compliant,2026-06-14T16:12:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_04,172.23.179.183,Edge Distribution,12,40,0.06,Operational / Patch Compliant,2026-06-09T16:05:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,10.51.45.75,Backbone Trunk,4,100,0.1,Operational / Patch Compliant,2026-06-08T08:43:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_02,10.211.86.253,Backbone Trunk,6,200,0.34,Operational / Patch Compliant,2026-06-12T19:54:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_05,172.31.47.115,Edge Distribution,13,40,0.19,Operational / Patch Compliant,2026-06-13T01:31:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_01,172.27.89.128,Backbone Trunk,3,200,0.38,Operational / Patch Compliant,2026-06-11T19:48:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_03,172.20.154.45,Inter-DC Transit,33,40,0.06,Operational / Patch Compliant,2026-06-11T03:34:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,10.31.224.246,Edge Distribution,5,40,0.1,Operational / Patch Compliant,2026-06-09T17:53:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_02,172.20.47.60,Edge Distribution,19,40,0.58,Mitigation Required,2026-06-09T23:09:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_01,172.16.72.74,Edge Distribution,14,10,0.8,Critical Exposure,2026-06-14T21:23:44Z
Germany (Frankfurt-Central),GERMANY_Edge_Aggregation_05,172.18.152.12,Edge Distribution,18,10,0.14,Operational / Patch Compliant,2026-06-12T16:40:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_05,10.22.74.18,Backbone Trunk,6,100,0.44,Operational / Patch Compliant,2026-06-13T13:57:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_02,10.92.163.118,Inter-DC Transit,30,40,0.02,Operational / Patch Compliant,2026-06-10T03:11:44Z
US (Virginia-East),US_Distribution_Layer_03,172.30.47.59,Edge Distribution,6,10,0.06,Operational / Patch Compliant,2026-06-11T10:23:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,10.79.97.179,Edge Distribution,9,40,0.2,Operational / Patch Compliant,2026-06-09T01:11:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_02,10.15.213.11,Backbone Trunk,2,400,0.07,Operational / Patch Compliant,2026-06-15T03:39:44Z
US (Virginia-East),US_Edge_Aggregation_01,172.24.24.83,Edge Distribution,8,10,0.12,Operational / Patch Compliant,2026-06-07T16:18:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,172.30.248.245,Edge Distribution,8,10,0.3,Operational / Patch Compliant,2026-06-13T20:56:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_03,10.99.122.211,Edge Distribution,7,10,0.29,Operational / Patch Compliant,2026-06-13T19:04:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_04,172.30.144.115,Edge Distribution,16,40,0.08,Operational / Patch Compliant,2026-06-08T06:48:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.26.222.21,Edge Distribution,19,10,0.1,Operational / Patch Compliant,2026-06-10T02:03:44Z
US (Virginia-East),US_Core_Backbone_02,172.25.255.115,Backbone Trunk,1,200,0.04,Operational / Patch Compliant,2026-06-08T01:53:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_04,10.76.141.15,Edge Distribution,16,10,0.87,Critical Exposure,2026-06-14T12:58:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_05,172.17.226.28,Edge Distribution,10,40,0.08,Operational / Patch Compliant,2026-06-12T00:37:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,172.31.127.238,Edge Distribution,8,40,0.32,Operational / Patch Compliant,2026-06-10T13:50:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,10.25.243.114,Backbone Trunk,7,200,0.03,Operational / Patch Compliant,2026-06-09T04:09:44Z
Iceland (Reykjavik-HQ),ICELAND_Edge_Aggregation_02,10.65.15.106,Edge Distribution,13,40,0.11,Operational / Patch Compliant,2026-06-14T13:43:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_04,10.34.23.7,Inter-DC Transit,33,40,0.08,Operational / Patch Compliant,2026-06-11T16:32:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_04,172.21.242.26,Backbone Trunk,5,400,0.06,Operational / Patch Compliant,2026-06-09T08:53:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,10.233.212.56,Backbone Trunk,4,100,0.36,Operational / Patch Compliant,2026-06-12T15:59:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.20.24.82,Inter-DC Transit,29,100,0.15,Operational / Patch Compliant,2026-06-10T11:25:44Z
US (Virginia-East),US_Distribution_Layer_05,172.19.27.39,Edge Distribution,7,10,0.12,Operational / Patch Compliant,2026-06-13T13:38:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,172.24.221.1,Backbone Trunk,5,100,0.12,Operational / Patch Compliant,2026-06-13T11:31:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_02,172.30.112.111,Edge Distribution,12,40,0.37,Operational / Patch Compliant,2026-06-13T02:53:44Z
US (Virginia-East),US_Core_Backbone_02,172.17.126.241,Backbone Trunk,4,200,0.04,Operational / Patch Compliant,2026-06-09T23:39:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_04,10.240.99.233,Edge Distribution,11,10,0.73,Critical Exposure,2026-06-09T18:43:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_02,172.22.101.72,Inter-DC Transit,25,100,0.33,Operational / Patch Compliant,2026-06-14T17:03:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_04,10.71.151.36,Backbone Trunk,6,100,0.6,Mitigation Required,2026-06-09T09:38:44Z
US (Virginia-East),US_Core_Backbone_05,10.130.64.82,Backbone Trunk,6,400,0.41,Operational / Patch Compliant,2026-06-11T08:36:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_01,10.33.77.78,Edge Distribution,12,10,0.17,Operational / Patch Compliant,2026-06-08T11:41:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,10.4.17.34,Edge Distribution,17,10,0.42,Operational / Patch Compliant,2026-06-14T10:47:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_02,172.16.13.104,Inter-DC Transit,21,40,0.08,Operational / Patch Compliant,2026-06-09T07:44:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_03,10.11.224.254,Edge Distribution,14,40,0.27,Operational / Patch Compliant,2026-06-14T02:38:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,172.24.1.150,Backbone Trunk,2,200,0.1,Operational / Patch Compliant,2026-06-07T13:57:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_02,172.21.52.116,Edge Distribution,20,40,0.33,Operational / Patch Compliant,2026-06-12T11:42:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_04,10.162.84.74,Edge Distribution,15,10,0.04,Operational / Patch Compliant,2026-06-13T22:14:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_04,10.58.15.101,Backbone Trunk,3,400,0.24,Operational / Patch Compliant,2026-06-13T09:47:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_02,172.31.158.138,Inter-DC Transit,19,40,0.06,Operational / Patch Compliant,2026-06-09T18:13:44Z
US (Virginia-East),US_Edge_Aggregation_01,10.15.223.178,Edge Distribution,8,40,0.91,Critical Exposure,2026-06-14T17:53:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_03,172.30.135.115,Edge Distribution,19,10,0.26,Operational / Patch Compliant,2026-06-11T22:35:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_01,10.187.57.248,Inter-DC Transit,13,100,0.27,Operational / Patch Compliant,2026-06-09T14:25:44Z
Germany (Frankfurt-Central),GERMANY_Distribution_Layer_04,10.175.24.41,Edge Distribution,16,40,0.3,Operational / Patch Compliant,2026-06-12T23:31:44Z
US (Virginia-East),US_Border_Gateway_02,172.26.193.227,Inter-DC Transit,31,100,0.05,Operational / Patch Compliant,2026-06-13T09:43:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_05,10.26.183.149,Edge Distribution,10,10,0.07,Operational / Patch Compliant,2026-06-12T01:14:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_05,10.221.166.239,Backbone Trunk,8,200,0.35,Operational / Patch Compliant,2026-06-10T16:10:44Z
Singapore (South-Asia),SINGAPORE_Core_Backbone_04,172.24.192.208,Backbone Trunk,5,200,0.13,Operational / Patch Compliant,2026-06-10T00:31:44Z
Ireland (Dublin-East),IRELAND_Border_Gateway_01,10.105.12.139,Inter-DC Transit,24,40,0.13,Operational / Patch Compliant,2026-06-12T04:22:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_05,10.121.140.119,Edge Distribution,14,40,0.15,Operational / Patch Compliant,2026-06-09T06:24:44Z
Japan (Tokyo-North),JAPAN_Distribution_Layer_04,10.67.20.233,Edge Distribution,19,10,0.35,Operational / Patch Compliant,2026-06-09T10:18:44Z
US (Virginia-East),US_Distribution_Layer_05,172.22.44.165,Edge Distribution,10,40,0.34,Operational / Patch Compliant,2026-06-09T05:51:44Z
Singapore (South-Asia),SINGAPORE_Distribution_Layer_02,10.115.56.91,Edge Distribution,16,10,0.03,Operational / Patch Compliant,2026-06-08T02:40:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_03,172.18.87.152,Backbone Trunk,5,200,0.85,Critical Exposure,2026-06-07T22:17:44Z
US (Virginia-East),US_Edge_Aggregation_05,172.26.6.192,Edge Distribution,6,40,0.29,Operational / Patch Compliant,2026-06-08T02:34:44Z
US (Virginia-East),US_Border_Gateway_02,172.16.164.75,Inter-DC Transit,14,40,0.28,Operational / Patch Compliant,2026-06-15T01:45:44Z
Singapore (South-Asia),SINGAPORE_Border_Gateway_04,10.193.33.119,Inter-DC Transit,33,40,0.32,Operational / Patch Compliant,2026-06-12T00:39:44Z
Ireland (Dublin-East),IRELAND_Core_Backbone_03,172.29.34.238,Backbone Trunk,5,200,0.09,Operational / Patch Compliant,2026-06-12T20:38:44Z
